Date,Sentiment_Score,Tweet_Volume,Open,High,Low,Close,Adj Close,Volume,Log_Returns
02/01/2018,0.084205882,128,12897.69043,12924.16016,12745.15039,12871.38965,12871.38965,86049300,0.008264803
03/01/2018,0.045721186,128,12916.17969,13023.58984,12893.0498,12978.20996,12978.20996,84809300,0.014509469
04/01/2018,-0.016355594,152,13065.98047,13208.34961,13062.66992,13167.88965,13167.88965,101199400,0.011458348
05/01/2018,0.102599545,122,13219.11035,13332.7998,13219.11035,13319.63965,13319.63965,112555000,0.003607743
08/01/2018,0.115486979,104,13399.62012,13407.82031,13334.16016,13367.78027,13367.78027,95005300,0.001331389
09/01/2018,0.033171721,131,13383.25977,13425.01953,13361.21973,13385.58984,13385.58984,94770400,-0.007818713
10/01/2018,0.020509124,154,13355.28027,13377.87988,13227.57031,13281.33984,13281.33984,120334900,-0.005923499
11/01/2018,0.018712051,141,13281.2002,13298.65039,13151.83984,13202.90039,13202.90039,110577300,0.003185876
12/01/2018,0.059170868,133,13241.28027,13265.13965,13168.00977,13245.03027,13245.03027,87893300,-0.003366961
15/01/2018,0.044365546,131,13244.37012,13250.37012,13173.70996,13200.50977,13200.50977,58326200,0.003465091
16/01/2018,0.07215,126,13228.59961,13351.08984,13196.55957,13246.33008,13246.33008,85801600,-0.004719603
17/01/2018,0.06302866,118,13200.91992,13251.44043,13137.50977,13183.95996,13183.95996,88144100,0.007365859
18/01/2018,0.087267355,132,13250.25,13293.29004,13201.33984,13281.42969,13281.42969,89644100,0.011455522
19/01/2018,0.033594318,148,13297.74023,13445.46973,13294.80957,13434.4502,13434.4502,108147200,0.002174146
22/01/2018,0.069724089,144,13435.13965,13470.0498,13410.95996,13463.69043,13463.69043,95295700,0.007098291
23/01/2018,0.07907089,155,13577.13965,13596.88965,13517.80957,13559.59961,13559.59961,97239000,-0.010740635
24/01/2018,0.0401092,135,13572.70996,13576.83984,13414.74023,13414.74023,13414.74023,105385100,-0.008713374
25/01/2018,0.094070685,122,13374.37988,13443.36035,13222.46973,13298.36035,13298.36035,106119200,0.003139032
26/01/2018,0.122579841,115,13297.50977,13348.69043,13268.30957,13340.16992,13340.16992,75829200,-0.001176798
29/01/2018,0.033938472,133,13358.90039,13370.01953,13274.83984,13324.48047,13324.48047,78822500,-0.009559653
30/01/2018,-0.01353479,113,13223.96973,13309.86035,13171.91016,13197.70996,13197.70996,115152700,-0.000623749
31/01/2018,0.073852116,135,13210.75977,13268.41016,13159.34961,13189.48047,13189.48047,111852500,-0.014170235
01/02/2018,0.042654051,166,13235.15039,13301.41016,12971.78027,13003.90039,13003.90039,122880100,-0.016964207
02/02/2018,0.034646545,184,12954.58984,12954.58984,12782.07031,12785.16016,12785.16016,140869300,-0.007668648
05/02/2018,0.049089259,144,12687.79004,12752.59961,12622.44043,12687.49023,12687.49023,113937900,-0.023512113
06/02/2018,0.011449286,234,12232.86035,12550.16016,12232.86035,12392.66016,12392.66016,204856800,0.015832602
07/02/2018,0.036767213,134,12478.67969,12651.28027,12414.83984,12590.42969,12590.42969,153471100,-0.026571389
08/02/2018,-0.013731006,199,12506.17969,12541.32031,12187.4502,12260.29004,12260.29004,153991900,-0.012542105
09/02/2018,0.02552871,174,12263.09961,12296.17969,12003.36035,12107.48047,12107.48047,175812900,0.014373947
12/02/2018,0.012429348,150,12238.62988,12379.16016,12222.33984,12282.76953,12282.76953,120024900,-0.007048404
13/02/2018,0.070605046,115,12282.75977,12300.62988,12196.21973,12196.5,12196.5,94601100,0.011628932
14/02/2018,0.067762313,144,12294.84961,12393.70996,12075.20996,12339.16016,12339.16016,130713000,0.00056793
15/02/2018,0.071887385,122,12425.4502,12479.96973,12275.04004,12346.16992,12346.16992,111934900,0.00853215
16/02/2018,0.07503125,121,12408.48047,12484.12012,12368.70996,12451.95996,12451.95996,104230500,-0.005343561
19/02/2018,0.075236555,127,12495.07031,12505.49023,12361.86035,12385.59961,12385.59961,66917000,0.008225731
20/02/2018,0.043850333,162,12403.62988,12496.09961,12333.79004,12487.90039,12487.90039,87127600,-0.001395135
21/02/2018,0.020557333,167,12457.21973,12474.37012,12372.25977,12470.49023,12470.49023,83382600,-0.000688267
22/02/2018,0.013163743,190,12358.82031,12497.70996,12283.7002,12461.91016,12461.91016,104173000,0.001754201
23/02/2018,0.019253357,149,12491.76953,12513.32031,12431.94043,12483.79004,12483.79004,97926500,0.003458505
26/02/2018,0.117897933,143,12566.0498,12601.45996,12484.58984,12527.04004,12527.04004,78303000,-0.002902704
27/02/2018,0.015249217,163,12573.65039,12577.55957,12436.12988,12490.73047,12490.73047,89864600,-0.004403408
28/02/2018,0.025092029,154,12427.45996,12516.91992,12417.95996,12435.84961,12435.84961,93391300,-0.019890311
01/03/2018,0.055234973,204,12386.40039,12387.87988,12143.13965,12190.94043,12190.94043,113680600,-0.023003254
02/03/2018,0.023121606,257,12051.88965,12081.40039,11877.66016,11913.70996,11913.70996,120480800,0.014760798
05/03/2018,0.002730511,215,11831.57031,12110.17969,11830.98047,12090.87012,12090.87012,109920600,0.001900455
06/03/2018,0.011744618,217,12229.29004,12259.58008,12110.33984,12113.87012,12113.87012,104517000,0.010796032
07/03/2018,0.061692647,217,12060.08984,12275.69043,12020.61035,12245.36035,12245.36035,92920300,0.00895988
08/03/2018,0.07985034,152,12237.94043,12382.69043,12177.12012,12355.57031,12355.57031,97759800,-0.000719823
09/03/2018,0.029900505,103,12331.63965,12407.98047,12284.57031,12346.67969,12346.67969,96109700,0.005791234
12/03/2018,0.096369583,131,12453.2998,12454.95996,12361.00977,12418.38965,12418.38965,136801400,-0.01602015
13/03/2018,0.026488564,146,12425.69043,12459.90039,12162.46973,12221.03027,12221.03027,131887900,0.001366378
14/03/2018,0.065306795,143,12212.49023,12322.88965,12202.75977,12237.74023,12237.74023,104202200,0.008771811
15/03/2018,0.068733333,120,12284.13965,12378.38965,12239.95996,12345.55957,12345.55957,106658200,0.003559354
16/03/2018,0.07269029,127,12345.55957,12454.01953,12337.62012,12389.58008,12389.58008,212840100,-0.01402578
19/03/2018,0.039525943,115,12346.50977,12369.76953,12183.79004,12217.01953,12217.01953,97309700,0.007365003
20/03/2018,0.0251355,105,12261.19043,12320,12191.5498,12307.33008,12307.33008,72907500,0.000147894
21/03/2018,0.031738421,105,12336.75977,12344.08984,12250.37012,12309.15039,12309.15039,108917200,-0.017130849
22/03/2018,0.01875,181,12187.73047,12267.16992,12009.5,12100.08008,12100.08008,138428600,-0.017824789
23/03/2018,0.015591606,157,11995.50977,12001.78027,11818.7002,11886.30957,11886.30957,145617800,-0.008368014
26/03/2018,0.025765717,181,11919.63965,11984.5,11726.62012,11787.25977,11787.25977,99857900,0.015453596
27/03/2018,0.022524843,168,11996.34961,12042.78027,11927.91016,11970.83008,11970.83008,98677800,-0.002519297
28/03/2018,-0.00205281,191,11868.08008,11961.16016,11770.40039,11940.70996,11940.70996,113396700,0.01298164
29/03/2018,0.055301014,166,11956.33984,12151.30957,11942.28027,12096.73047,12096.73047,111589200,-0.007824395
03/04/2018,-0.014521088,157,11997.46973,12069.48047,11913.62012,12002.4502,12002.4502,95226700,-0.003718631
04/04/2018,0.030712835,155,12000.46973,12011.12012,11792.34961,11957.90039,11957.90039,107305000,0.028628979
05/04/2018,-0.01784031,194,12153.61035,12322.37012,12135.63965,12305.19043,12305.19043,109092300,-0.005208168
06/04/2018,-0.004026846,185,12242.94043,12290.03027,12202.0498,12241.26953,12241.26953,87009100,0.001671669
09/04/2018,0.02703344,175,12311.01953,12371.11035,12205.38965,12261.75,12261.75,77287300,0.010995684
10/04/2018,0.059013889,126,12389.90039,12428.90039,12334.9502,12397.32031,12397.32031,99355700,-0.008371469
11/04/2018,0.058820183,118,12372.07031,12381.53027,12256.58984,12293.96973,12293.96973,98812700,0.00979733
12/04/2018,0.037365596,116,12282.38965,12434.24023,12263.7002,12415.00977,12415.00977,82053600,0.002203821
13/04/2018,0.036002308,142,12461.30957,12523.96973,12411.65039,12442.40039,12442.40039,76693800,-0.004106523
16/04/2018,0.090461756,121,12478.99023,12487.04004,12375.62988,12391.41016,12391.41016,62656800,0.015547441
17/04/2018,0.060508333,132,12443.2002,12614.25,12417.25977,12585.57031,12585.57031,85350700,0.000417833
